Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
A1TTA3N401CZTS	19.38%	19.38%	38.14%	38.14%	38.14%	38.14%	3.70%	3.70%	16.67%	16.67%	16.67%	16.67%	12.0000	0.0000
A1XT59Y7H5AOQD	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A1YW00TFC187CC	23.40%	23.40%	43.00%	43.00%	43.00%	43.00%	5.82%	5.82%	21.41%	21.41%	21.41%	21.41%	220.0000	6.0000
A20JR0E01UKKDC	37.43%	37.43%	58.68%	58.68%	58.68%	58.68%	18.50%	18.50%	41.82%	41.82%	41.82%	41.82%	37.0000	1.0000
A2289G4S8YGPX9	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A23BMD8M0RLV77	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A23RB1Y4ANXQLS	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A243EPKB9EW005	50.49%	50.49%	71.05%	71.05%	71.05%	71.05%	48.89%	48.89%	73.33%	73.33%	73.33%	73.33%	23.0000	0.0000
A2460QZM5TZC4V	32.48%	32.48%	55.02%	55.02%	55.02%	55.02%	14.44%	14.44%	36.00%	36.00%	36.00%	36.00%	100.0000	2.0000
A25JF6K0WTD7RD	26.79%	26.79%	50.05%	50.05%	50.05%	50.05%	38.98%	38.98%	60.19%	60.19%	60.19%	60.19%	55.0000	1.0000
A26UFW98CIYDOI	70.27%	70.27%	85.66%	85.66%	85.66%	85.66%	17.36%	17.36%	41.67%	41.67%	41.67%	41.67%	7.0000	0.0000
A296F95XZ8N4S6	27.73%	27.73%	45.61%	45.61%	45.61%	45.61%	33.33%	33.33%	50.00%	50.00%	50.00%	50.00%	24.0000	0.0000
A29PMRCRJ7Q9ZD	18.25%	18.25%	42.94%	42.94%	42.94%	42.94%	18.50%	18.50%	42.68%	42.68%	42.68%	42.68%	329.0000	1.0000
A2AM9D21A7KEZF	3.14%	3.14%	17.37%	17.37%	17.37%	17.37%	N/A	N/A	N/A	N/A	N/A	N/A	5.0000	0.0000
A2D2UXKO4AWBO8	61.75%	61.75%	74.55%	74.55%	74.55%	74.55%	N/A	N/A	N/A	N/A	N/A	N/A	3.0000	0.0000
A2F0NZQ8F9ON8C	39.87%	39.87%	61.79%	61.79%	61.79%	61.79%	15.49%	15.49%	39.15%	39.15%	39.15%	39.15%	73.0000	2.0000
A2H3M1JVY991Q3	9.70%	9.70%	31.45%	31.45%	31.45%	31.45%	17.32%	17.32%	41.58%	41.58%	41.58%	41.58%	233.0000	1.0000
A2IGRNX80F2BRD	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A2N2KQXUPLNDWI	18.04%	18.04%	28.02%	28.02%	28.02%	28.02%	1.72%	1.72%	8.24%	8.24%	8.24%	8.24%	27.0000	1.0000
A2NBP5OTOYX3WK	28.57%	28.57%	51.66%	51.66%	51.66%	51.66%	19.40%	19.40%	42.19%	42.19%	42.19%	42.19%	186.0000	2.0000
A2NDGTBR25ADTU	33.30%	33.30%	43.75%	43.75%	43.75%	43.75%	15.58%	15.58%	28.57%	28.57%	28.57%	28.57%	13.0000	0.0000
A2P37651146LL5	20.42%	20.42%	41.14%	41.14%	41.14%	41.14%	17.00%	17.00%	37.02%	37.02%	37.02%	37.02%	75.0000	1.0000
A2QNS7MODF0A2N	20.24%	20.24%	36.90%	36.90%	36.90%	36.90%	14.18%	14.18%	30.59%	30.59%	30.59%	30.59%	290.0000	4.0000
A2SB5KUOAGU70U	41.82%	41.82%	55.83%	55.83%	55.83%	55.83%	34.21%	34.21%	50.00%	50.00%	50.00%	50.00%	25.0000	0.0000
A2U3EWDHMY526T	32.83%	32.83%	49.62%	49.62%	49.62%	49.62%	33.33%	33.33%	50.00%	50.00%	50.00%	50.00%	4.0000	0.0000
A2YBJXNHCSQ5PL	27.37%	27.37%	40.13%	40.13%	40.13%	40.13%	10.00%	10.00%	25.00%	25.00%	25.00%	25.00%	6.0000	0.0000
A32JS1R9V5LB78	19.87%	19.87%	43.66%	43.66%	43.66%	43.66%	22.32%	22.32%	44.64%	44.64%	44.64%	44.64%	15.0000	1.0000
A32KTL9SV0WHMB	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A36N8WJKIGNKT0	40.49%	40.49%	62.37%	62.37%	62.37%	62.37%	2.78%	2.78%	16.67%	16.67%	16.67%	16.67%	5.0000	0.0000
A37NNI7YFHQU0E	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	0.0000
A37TAQZGFFIPF6	31.67%	31.67%	50.65%	50.65%	50.65%	50.65%	17.08%	17.08%	37.40%	37.40%	37.40%	37.40%	104.0000	1.0000
A39BQD05T7ALEG	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A39LJRF4LGAIX5	7.53%	7.53%	27.20%	27.20%	27.20%	27.20%	10.90%	10.90%	32.50%	32.50%	32.50%	32.50%	80.0000	0.0000
A39PPFQ1L7N6OQ	28.74%	28.74%	50.76%	50.76%	50.76%	50.76%	25.00%	25.00%	50.00%	50.00%	50.00%	50.00%	6.0000	0.0000
A3CFNUD7VR2E1E	14.37%	14.37%	35.58%	35.58%	35.58%	35.58%	23.60%	23.60%	44.39%	44.39%	44.39%	44.39%	173.0000	2.0000
A3CMYDBINK8ZS2	82.11%	82.11%	90.48%	90.48%	90.48%	90.48%	56.94%	56.94%	77.27%	77.27%	77.27%	77.27%	36.0000	0.0000
A3D8YDQP3CFFT	63.77%	63.77%	79.18%	79.18%	79.18%	79.18%	13.54%	13.54%	35.56%	35.56%	35.56%	35.56%	19.0000	0.0000
A3HQX4BG2WZFTU	70.69%	70.69%	79.90%	79.90%	79.90%	79.90%	27.27%	27.27%	50.00%	50.00%	50.00%	50.00%	16.0000	0.0000
A3KUOOJQ1Y4QC0	2.89%	2.89%	27.94%	27.94%	27.94%	27.94%	22.22%	22.22%	66.67%	66.67%	66.67%	66.67%	7.0000	0.0000
A3MXBLYX2CDGTP	49.73%	49.73%	62.31%	62.31%	62.31%	62.31%	11.11%	11.11%	33.33%	33.33%	33.33%	33.33%	4.0000	0.0000
A3NC9MZKCOD3T4	28.63%	28.63%	54.26%	54.26%	54.26%	54.26%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	6.0000	0.0000
A3O81LHBBI8NPK	50.28%	50.28%	71.38%	71.38%	71.38%	71.38%	12.50%	12.50%	50.00%	50.00%	50.00%	50.00%	7.0000	0.0000
A3OZ8KF0HWSVWK	28.90%	28.90%	48.46%	48.46%	48.46%	48.46%	18.07%	18.07%	38.45%	38.45%	38.45%	38.45%	124.0000	1.0000
A3P08N6X9HDJ2V	39.73%	39.73%	60.90%	60.90%	60.90%	60.90%	38.74%	38.74%	60.12%	60.12%	60.12%	60.12%	52.0000	1.0000
A3QJWBEC5A5OEG	16.90%	16.90%	41.38%	41.38%	41.38%	41.38%	9.09%	9.09%	30.30%	30.30%	30.30%	30.30%	20.0000	0.0000
A3QTDW5WP4GFKV	20.11%	20.11%	41.10%	41.10%	41.10%	41.10%	27.19%	27.19%	45.83%	45.83%	45.83%	45.83%	92.0000	0.0000
A3R5A5DNW8WUZQ	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.0000	0.0000
A3SWVCOJPJM7KQ	27.12%	27.12%	43.94%	43.94%	43.94%	43.94%	6.54%	6.54%	21.14%	21.14%	21.14%	21.14%	68.0000	0.0000
A3TSHG5R492EHU	8.40%	8.40%	17.68%	17.68%	17.68%	17.68%	4.62%	4.62%	12.87%	12.87%	12.87%	12.87%	846.0000	9.0000
A3U1K9X1LXA5JA	72.81%	72.81%	86.05%	86.05%	86.05%	86.05%	54.00%	54.00%	75.00%	75.00%	75.00%	75.00%	50.0000	0.0000
A3U5GS55UEF5C8	45.95%	45.95%	66.95%	66.95%	66.95%	66.95%	48.35%	48.35%	67.86%	67.86%	67.86%	67.86%	26.0000	0.0000
A3USZ9FDRJXYGW	71.34%	71.34%	85.51%	85.51%	85.51%	85.51%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	2.0000	0.0000
A3UYK0Z6ZHS7I4	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	0.0000
A52AHJEUWFSA2	30.22%	30.22%	53.15%	53.15%	53.15%	53.15%	0.15%	0.15%	4.17%	4.17%	4.17%	4.17%	11.0000	0.0000
A8JXHGJIXG2NQ	58.23%	58.23%	70.16%	70.16%	70.16%	70.16%	53.33%	53.33%	66.67%	66.67%	66.67%	66.67%	7.0000	2.0000
A9K49S97N9S9Y	12.92%	12.92%	28.89%	28.89%	28.89%	28.89%	5.45%	5.45%	18.52%	18.52%	18.52%	18.52%	63.0000	1.0000
AADB14P6ZCSOC	19.57%	19.57%	44.12%	44.12%	44.12%	44.12%	34.28%	34.28%	57.40%	57.40%	57.40%	57.40%	60.0000	0.0000
AB5C1BRQTC19Q	44.77%	44.77%	66.78%	66.78%	66.78%	66.78%	32.58%	32.58%	58.29%	58.29%	58.29%	58.29%	28.0000	0.0000
AE4OWTLXURMKP	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
AF3G0V1QQAU80	3.33%	3.33%	14.33%	14.33%	14.33%	14.33%	12.14%	12.14%	26.25%	26.25%	26.25%	26.25%	96.0000	0.0000
AJWKHL2B85PZ9	29.09%	29.09%	48.28%	48.28%	48.28%	48.28%	2.13%	2.13%	14.58%	14.58%	14.58%	14.58%	22.0000	1.0000
AKI3CNHDR21S7	49.47%	49.47%	74.34%	74.34%	74.34%	74.34%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	2.0000	0.0000
AOMS6ZPYQPAN	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.0000	0.0000
AQ3M9XJK8WOII	31.62%	31.62%	56.58%	56.58%	56.58%	56.58%	5.41%	5.41%	22.73%	22.73%	22.73%	22.73%	19.0000	0.0000
ARESAM9NV8479	58.81%	58.81%	77.05%	77.05%	77.05%	77.05%	33.33%	33.33%	66.67%	66.67%	66.67%	66.67%	4.0000	0.0000
AROJE6P94TZ9Q	1.56%	1.56%	18.28%	18.28%	18.28%	18.28%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	3.0000	0.0000
ARX0S1CIDJLOX	26.49%	26.49%	38.89%	38.89%	38.89%	38.89%	11.30%	11.30%	24.65%	24.65%	24.65%	24.65%	100.0000	0.0000
AVEBPYUX1GZYK	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
